Weather,Color Palette,Pattern,Feeling,Clothing Fit,Dress Name,Description
Windy,Neutral,Solid colors,Sophisticated,Standard,Suit,"A formal outfit with a matching jacket and trousers, tailored for a polished and professional look."
Snowy,Bright,Geometric,Casual,Standard,T-Shirt,"A casual, lightweight top with short sleeves, perfect for everyday comfort and style."
Pleasant,Earth,Stripes,Casual,Oversized,Sweater,"A warm knitted top, ideal for layering in cooler weather, available in various fits and styles."
Windy,Pastel,Solid colors,Unique,Standard,Jacket,"A versatile outerwear piece, perfect for protection against the elements while adding style."
Pleasant,Pastel,Stripes,Casual,Standard,Jeans,"A pair of durable denim trousers, offering a classic look suitable for both casual and semi-formal occasions."
Pleasant,Earth,Floral,Sophisticated,Standard,Chinos,"Smart-casual trousers made from lightweight cotton, perfect for a polished yet relaxed look."
Windy,Bright,Stripes,Casual,Loose,Shorts,"A comfortable, knee-length bottom wear, ideal for warm weather and casual outings."
Snowy,Neutral,Stripes,Sophisticated,Oversized,Hoodie,"A cozy, casual top with a hood, offering both comfort and street-style appeal."
Pleasant,Pastel,Solid colors,Unique,Standard,Blazer,"A semi-formal jacket that elevates any outfit, perfect for dinners or office wear."
Windy,Bright,Stripes,Sophisticated,Standard,Polo Shirt,"A short-sleeved shirt with a collar and buttons, offering a blend of casual and smart style."
Pleasant,Pastel,Solid colors,Casual,Standard,Casual Shirt,"A relaxed-fit shirt, perfect for informal gatherings and everyday wear."
Windy,Earth,Geometric,Trendy,Standard,Formal Shirt,"A sleek button-down shirt, ideal for office wear and formal occasions."
Snowy,Bright,Geometric,Unique,Oversized,Cardigan,"A knitted top with buttons or zippers, great for layering and adding warmth."
Windy,Neutral,Stripes,Sophisticated,Standard,Denim Jacket,"A classic and durable jacket made from denim, perfect for casual and rugged looks."
Pleasant,Pastel,Solid colors,Casual,Standard,Bomber Jacket,"A short, stylish jacket with a zip front and elasticized cuffs, suitable for versatile styling."
Snowy,Earth,Solid colors,Unique,Oversized,Trench Coat,"A long, belted coat, ideal for adding sophistication and protection against the rain."
Snowy,Bright,Solid colors,Sophisticated,Loose,Tracksuit,"A coordinated set of jacket and pants, designed for sports or casual lounging."
Windy,Earth,Geometric,Casual,Oversized,Cardigan,"A knitted top with buttons or zippers, great for layering and adding warmth."
Sunny,Bright,Stripes,Casual,Loose,Sweatpants,"Comfortable, casual trousers, perfect for workouts or relaxing at home."
